Tema,Año,Mes,Marca,Modelo,Tipo,Segmento,Produccion
Producción de vehículos,2005,Febrero,Ford Motor,Focus ZX3,Automóviles,Compactos, 5 285
Producción de vehículos,2005,Febrero,Ford Motor,H - 215,Camiones ligeros,Pick Ups, 1 247
Producción de vehículos,2005,Febrero,General Motors,Avalanche UUV,Camiones ligeros,Pick Ups, 6 747
Producción de vehículos,2005,Febrero,General Motors,Aztek SUV,Camiones ligeros,SUV's,0
Producción de vehículos,2005,Febrero,General Motors,Chevy 3 Ptas,Automóviles,Subcompactos, 2 526
Producción de vehículos,2005,Febrero,General Motors,Chevy 4 PTAS,Automóviles,Subcompactos, 1 622
Producción de vehículos,2005,Febrero,General Motors,Chevy 5 Ptas,Automóviles,Subcompactos, 1 831
Producción de vehículos,2005,Febrero,General Motors,Escalade ESV SUV AWD,Camiones ligeros,Minivans, 1 661
Producción de vehículos,2005,Febrero,General Motors,Escalade EXT UUV 4X4,Camiones ligeros,Minivans,768
Producción de vehículos,2005,Febrero,General Motors,HHR 5 PTAS,Automóviles,Compactos,28
Producción de vehículos,2005,Febrero,General Motors,"Kodiak Chassis Cab Class 6 PBV23,900",Camiones ligeros,Pick Ups,52
Producción de vehículos,2005,Febrero,General Motors,"Kodiak Chassis Cab Class 7 PBV33,000",Camiones ligeros,Pick Ups,130
Producción de vehículos,2005,Febrero,General Motors,"Kodiak Chassis Cab Class 8 PBV36,000",Camiones ligeros,Pick Ups,110
Producción de vehículos,2005,Febrero,General Motors,Rendezvous,Camiones ligeros,Minivans, 4 810
Producción de vehículos,2005,Febrero,General Motors,Silverado 1500 Cabina Regular-,Camiones ligeros,Pick Ups,775
Producción de vehículos,2005,Febrero,General Motors,Silverado 3500 Chassis Cab,Camiones ligeros,Pick Ups,610
Producción de vehículos,2005,Febrero,General Motors,Silverado 3500 HD Chassis Cab Heavy Duty,Camiones ligeros,Pick Ups,363
Producción de vehículos,2005,Febrero,General Motors,Suburban SUV-,Camiones ligeros,SUV's, 9 664
Producción de vehículos,2005,Febrero,General Motors,Sunfire 4 Ptas,Automóviles,Compactos,650
Producción de vehículos,2005,Febrero,General Motors,Sunfire GT 2 Ptas,Automóviles,Compactos, 4 272
Producción de vehículos,2005,Febrero,Honda,Accord,Automóviles,De Lujo, 2 162
Producción de vehículos,2005,Febrero,Nissan,Chasis Largo,Camiones ligeros,Pick Ups, 1 775
Producción de vehículos,2005,Febrero,Nissan,Estacas Largo,Camiones ligeros,Pick Ups,201
Producción de vehículos,2005,Febrero,Nissan,Pickup Doble Cabina,Camiones ligeros,Pick Ups,895
Producción de vehículos,2005,Febrero,Nissan,Pickup King Cab STD,Camiones ligeros,Pick Ups,0
Producción de vehículos,2005,Febrero,Nissan,Pickup Largo,Camiones ligeros,Pick Ups,393
Producción de vehículos,2005,Febrero,Nissan,Platina 4 PTS,Automóviles,Subcompactos, 5 690
Producción de vehículos,2005,Febrero,Nissan,Sentra 4 PTS,Automóviles,Compactos, 16 120
Producción de vehículos,2005,Febrero,Nissan,Tsubame,Automóviles,Compactos,0
Producción de vehículos,2005,Febrero,Nissan,Tsuru 4 PTS,Automóviles,Subcompactos, 8 041
Producción de vehículos,2005,Febrero,Renault,Clio,Automóviles,Subcompactos, 1 007
Producción de vehículos,2005,Febrero,Renault,Scenic,Automóviles,Compactos,0
Producción de vehículos,2005,Febrero,Volkswagen,Beetle,Automóviles,Compactos, 2 460
Producción de vehículos,2005,Febrero,Volkswagen,Beetle Cabrio,Automóviles,Compactos, 2 808
Producción de vehículos,2005,Febrero,Volkswagen,Bora,Automóviles,Compactos, 7 311
Producción de vehículos,2005,Febrero,Volkswagen,Jetta 4 PTAS,Automóviles,Compactos, 1 549
Producción de vehículos,2005,Marzo,Chrysler,PT Cruiser,Automóviles,Compactos, 14 111
Producción de vehículos,2005,Marzo,Chrysler,RAM 1500-,Camiones ligeros,Pick Ups,0
Producción de vehículos,2005,Marzo,Chrysler,RAM 2500-,Camiones ligeros,Pick Ups, 9 461
Producción de vehículos,2005,Marzo,Chrysler,RAM 4000,Camiones ligeros,Pick Ups, 5 451
Producción de vehículos,2005,Marzo,Ford Motor,F 150,Camiones ligeros,Pick Ups,670
Producción de vehículos,2005,Marzo,Ford Motor,F 250,Camiones ligeros,Pick Ups,450
Producción de vehículos,2005,Marzo,Ford Motor,F 350,Camiones ligeros,Pick Ups,781
Producción de vehículos,2005,Marzo,Ford Motor,F 450,Camiones ligeros,Pick Ups,162
Producción de vehículos,2005,Marzo,Ford Motor,F 550,Camiones ligeros,Pick Ups,125
Producción de vehículos,2005,Marzo,Ford Motor,Fiesta Ikon,Automóviles,Subcompactos, 1 026
Producción de vehículos,2005,Marzo,Ford Motor,Focus ZX3,Automóviles,Compactos, 2 493
Producción de vehículos,2005,Marzo,Ford Motor,H - 215,Camiones ligeros,Pick Ups, 1 296
Producción de vehículos,2005,Marzo,General Motors,Avalanche UUV,Camiones ligeros,Pick Ups, 4 771
Producción de vehículos,2005,Marzo,General Motors,Aztek SUV,Camiones ligeros,SUV's,0
Producción de vehículos,2005,Marzo,General Motors,Chevy 3 Ptas,Automóviles,Subcompactos, 2 058
Producción de vehículos,2005,Marzo,General Motors,Chevy 4 PTAS,Automóviles,Subcompactos, 1 654
Producción de vehículos,2005,Marzo,General Motors,Chevy 5 Ptas,Automóviles,Subcompactos, 1 925
Producción de vehículos,2005,Marzo,General Motors,Escalade ESV SUV AWD,Camiones ligeros,Minivans, 1 135
Producción de vehículos,2005,Marzo,General Motors,Escalade EXT UUV 4X4,Camiones ligeros,Minivans,588
Producción de vehículos,2005,Marzo,General Motors,HHR 5 PTAS,Automóviles,Compactos,11
Producción de vehículos,2005,Marzo,General Motors,"Kodiak Chassis Cab Class 6 PBV23,900",Camiones ligeros,Pick Ups,53
Producción de vehículos,2005,Marzo,General Motors,"Kodiak Chassis Cab Class 7 PBV33,000",Camiones ligeros,Pick Ups,80
Producción de vehículos,2005,Marzo,General Motors,"Kodiak Chassis Cab Class 8 PBV36,000",Camiones ligeros,Pick Ups,7
Producción de vehículos,2005,Marzo,General Motors,Rendezvous,Camiones ligeros,Minivans, 3 786
Producción de vehículos,2005,Marzo,General Motors,Silverado 1500 Cabina Regular-,Camiones ligeros,Pick Ups,223
Producción de vehículos,2005,Marzo,General Motors,Silverado 3500 Chassis Cab,Camiones ligeros,Pick Ups,201
Producción de vehículos,2005,Marzo,General Motors,Silverado 3500 HD Chassis Cab Heavy Duty,Camiones ligeros,Pick Ups,150
Producción de vehículos,2005,Marzo,General Motors,Suburban SUV-,Camiones ligeros,SUV's, 5 997
Producción de vehículos,2005,Marzo,General Motors,Sunfire 4 Ptas,Automóviles,Compactos, 1 237
Producción de vehículos,2005,Marzo,General Motors,Sunfire GT 2 Ptas,Automóviles,Compactos, 2 566
