Tema,Año,Mes,Marca,Modelo,Tipo,Segmento,Produccion
Producción de vehículos,2007,Septiembre,General Motors,Suburban SUV-,Camiones ligeros,SUV's, 4 162
Producción de vehículos,2007,Septiembre,General Motors,VUE,Camiones ligeros,SUV's, 7 897
Producción de vehículos,2007,Septiembre,Honda,Accord,Automóviles,De Lujo,0
Producción de vehículos,2007,Septiembre,Honda,CR-V-,Camiones ligeros,SUV's,72
Producción de vehículos,2007,Septiembre,Nissan,Chasis Largo,Camiones ligeros,Pick Ups, 1 392
Producción de vehículos,2007,Septiembre,Nissan,Estacas Largo,Camiones ligeros,Pick Ups,295
Producción de vehículos,2007,Septiembre,Nissan,Pickup Doble Cabina,Camiones ligeros,Pick Ups, 1 745
Producción de vehículos,2007,Septiembre,Nissan,Pickup King Cab STD,Camiones ligeros,Pick Ups,0
Producción de vehículos,2007,Septiembre,Nissan,Pickup Largo,Camiones ligeros,Pick Ups,720
Producción de vehículos,2007,Septiembre,Nissan,Platina 4 PTS,Automóviles,Subcompactos,282
Producción de vehículos,2007,Septiembre,Nissan,Sentra,Automóviles,Compactos, 15 798
Producción de vehículos,2007,Septiembre,Nissan,Sentra 4 PTS,Automóviles,Compactos,0
Producción de vehículos,2007,Septiembre,Nissan,Sentra SE R,Automóviles,Compactos,51
Producción de vehículos,2007,Septiembre,Nissan,Tiida 5 PTS,Automóviles,Compactos, 20 019
Producción de vehículos,2007,Septiembre,Nissan,Tiida Sedan,Automóviles,Compactos,229
Producción de vehículos,2007,Septiembre,Nissan,Tsubame,Automóviles,Compactos,0
Producción de vehículos,2007,Septiembre,Nissan,Tsuru 4 PTS,Automóviles,Subcompactos, 6 714
Producción de vehículos,2007,Septiembre,Renault,Clio,Automóviles,Subcompactos,773
Producción de vehículos,2007,Septiembre,Renault,Scenic,Automóviles,Compactos,0
Producción de vehículos,2007,Septiembre,Toyota,Tacoma-,Camiones ligeros,Pick Ups, 2 635
Producción de vehículos,2007,Septiembre,Volkswagen,Beetle,Automóviles,Compactos, 3 033
Producción de vehículos,2007,Septiembre,Volkswagen,Beetle Cabrio,Automóviles,Compactos, 1 643
Producción de vehículos,2007,Septiembre,Volkswagen,Bora,Automóviles,Compactos, 15 571
Producción de vehículos,2007,Septiembre,Volkswagen,Bora TDI,Automóviles,Compactos,92
Producción de vehículos,2007,Septiembre,Volkswagen,Jetta 4 PTAS,Automóviles,Compactos, 5 566
Producción de vehículos,2007,Septiembre,Volkswagen,Jetta TDI,Automóviles,Compactos,88
Producción de vehículos,2007,Septiembre,Volkswagen,Sportwagen,Automóviles,Compactos, 8 270
Producción de vehículos,2007,Octubre,Chrysler,PT Cruiser,Automóviles,Compactos, 7 158
Producción de vehículos,2007,Octubre,Chrysler,RAM 1500-,Camiones ligeros,Pick Ups,544
Producción de vehículos,2007,Octubre,Chrysler,RAM 2500-,Camiones ligeros,Pick Ups, 4 043
Producción de vehículos,2007,Octubre,Chrysler,RAM 3500,Camiones ligeros,Pick Ups, 3 319
Producción de vehículos,2007,Octubre,Chrysler,RAM 4000,Camiones ligeros,Pick Ups,558
Producción de vehículos,2007,Octubre,Ford Motor,F 150,Camiones ligeros,Pick Ups,175
Producción de vehículos,2007,Octubre,Ford Motor,F 250,Camiones ligeros,Pick Ups, 2 052
Producción de vehículos,2007,Octubre,Ford Motor,F 350,Camiones ligeros,Pick Ups, 1 622
Producción de vehículos,2007,Octubre,Ford Motor,F 450,Camiones ligeros,Pick Ups,40
Producción de vehículos,2007,Octubre,Ford Motor,F 550,Camiones ligeros,Pick Ups,0
Producción de vehículos,2007,Octubre,Ford Motor,Fiesta Ikon,Automóviles,Subcompactos,0
Producción de vehículos,2007,Octubre,Ford Motor,Fusion,Automóviles,Compactos, 14 674
Producción de vehículos,2007,Octubre,Ford Motor,H - 215,Camiones ligeros,Pick Ups, 1 441
Producción de vehículos,2007,Octubre,Ford Motor,LCF,Camiones ligeros,Pick Ups,104
Producción de vehículos,2007,Octubre,Ford Motor,Milan-,Automóviles,De Lujo, 3 452
Producción de vehículos,2007,Octubre,Ford Motor,MKZ-,Automóviles,De Lujo, 3 801
Producción de vehículos,2007,Octubre,General Motors,Avalanche UUV,Camiones ligeros,Pick Ups, 7 715
Producción de vehículos,2007,Octubre,General Motors,Chevy 3 Ptas,Automóviles,Subcompactos, 1 883
Producción de vehículos,2007,Octubre,General Motors,Chevy 4 PTAS,Automóviles,Subcompactos, 3 149
Producción de vehículos,2007,Octubre,General Motors,Chevy 5 Ptas,Automóviles,Subcompactos, 1 761
Producción de vehículos,2007,Octubre,General Motors,Escalade EXT UUV 4X4,Camiones ligeros,Minivans,758
Producción de vehículos,2007,Octubre,General Motors,GMC Sierra Doble Cabina,Camiones ligeros,Pick Ups,884
Producción de vehículos,2007,Octubre,General Motors,HHR 5 PTAS,Automóviles,Compactos, 12 163
Producción de vehículos,2007,Octubre,General Motors,"Kodiak Chassis Cab Class 6 PBV23,900",Camiones ligeros,Pick Ups,0
Producción de vehículos,2007,Octubre,General Motors,"Kodiak Chassis Cab Class 7 PBV33,000",Camiones ligeros,Pick Ups,20
Producción de vehículos,2007,Octubre,General Motors,"Kodiak Chassis Cab Class 8 PBV36,000",Camiones ligeros,Pick Ups,170
Producción de vehículos,2007,Octubre,General Motors,Rendezvous,Camiones ligeros,Minivans,0
Producción de vehículos,2007,Octubre,General Motors,Silverado 1500 Cabina Regular-,Camiones ligeros,Pick Ups, 1 289
Producción de vehículos,2007,Octubre,General Motors,Silverado 2500 Cabina Regular-,Camiones ligeros,Pick Ups, 4 682
Producción de vehículos,2007,Octubre,General Motors,Silverado 2500 Doble Cabina-,Camiones ligeros,Pick Ups,0
Producción de vehículos,2007,Octubre,General Motors,Silverado 3500 Chassis Cab,Camiones ligeros,Pick Ups,0
Producción de vehículos,2007,Octubre,General Motors,Silverado 3500 HD Chassis Cab Heavy Duty,Camiones ligeros,Pick Ups,0
Producción de vehículos,2007,Octubre,General Motors,Suburban SUV-,Camiones ligeros,SUV's, 9 813
Producción de vehículos,2007,Octubre,General Motors,VUE,Camiones ligeros,SUV's, 8 634
Producción de vehículos,2007,Octubre,Honda,Accord,Automóviles,De Lujo,0
Producción de vehículos,2007,Octubre,Honda,CR-V-,Camiones ligeros,SUV's, 3 162
Producción de vehículos,2007,Octubre,Nissan,Chasis Largo,Camiones ligeros,Pick Ups, 3 189
Producción de vehículos,2007,Octubre,Nissan,Estacas Largo,Camiones ligeros,Pick Ups,436
Producción de vehículos,2007,Octubre,Nissan,Pickup Doble Cabina,Camiones ligeros,Pick Ups,450
Producción de vehículos,2007,Octubre,Nissan,Pickup King Cab STD,Camiones ligeros,Pick Ups,0
Producción de vehículos,2007,Octubre,Nissan,Pickup Largo,Camiones ligeros,Pick Ups,733
Producción de vehículos,2007,Octubre,Nissan,Platina 4 PTS,Automóviles,Subcompactos, 1 456
Producción de vehículos,2007,Octubre,Nissan,Sentra,Automóviles,Compactos, 17 822
Producción de vehículos,2007,Octubre,Nissan,Sentra 4 PTS,Automóviles,Compactos,0
Producción de vehículos,2007,Octubre,Nissan,Sentra SE R,Automóviles,Compactos,0
Producción de vehículos,2007,Octubre,Nissan,Tiida 5 PTS,Automóviles,Compactos, 15 809
Producción de vehículos,2007,Octubre,Nissan,Tiida Sedan,Automóviles,Compactos, 3 208
Producción de vehículos,2007,Octubre,Nissan,Tsubame,Automóviles,Compactos,0
Producción de vehículos,2007,Octubre,Nissan,Tsuru 4 PTS,Automóviles,Subcompactos, 7 582
Producción de vehículos,2007,Octubre,Renault,Clio,Automóviles,Subcompactos,225
Producción de vehículos,2007,Octubre,Renault,Scenic,Automóviles,Compactos,0
Producción de vehículos,2007,Octubre,Toyota,Tacoma-,Camiones ligeros,Pick Ups, 3 183
Producción de vehículos,2007,Octubre,Volkswagen,Beetle,Automóviles,Compactos, 4 634
Producción de vehículos,2007,Octubre,Volkswagen,Beetle Cabrio,Automóviles,Compactos, 2 385
Producción de vehículos,2007,Octubre,Volkswagen,Bora,Automóviles,Compactos, 19 755
Producción de vehículos,2007,Octubre,Volkswagen,Bora TDI,Automóviles,Compactos,155
Producción de vehículos,2007,Octubre,Volkswagen,Jetta 4 PTAS,Automóviles,Compactos, 8 128
Producción de vehículos,2007,Octubre,Volkswagen,Jetta TDI,Automóviles,Compactos,250
Producción de vehículos,2007,Octubre,Volkswagen,Sportwagen,Automóviles,Compactos, 9 990
Producción de vehículos,2007,Noviembre,Chrysler,PT Cruiser,Automóviles,Compactos, 9 829
Producción de vehículos,2007,Noviembre,Chrysler,RAM 1500-,Camiones ligeros,Pick Ups, 1 021
Producción de vehículos,2007,Noviembre,Chrysler,RAM 2500-,Camiones ligeros,Pick Ups, 8 326
Producción de vehículos,2007,Noviembre,Chrysler,RAM 3500,Camiones ligeros,Pick Ups, 6 229
Producción de vehículos,2007,Noviembre,Chrysler,RAM 4000,Camiones ligeros,Pick Ups,462
Producción de vehículos,2007,Noviembre,Ford Motor,F 150,Camiones ligeros,Pick Ups, 1 433
Producción de vehículos,2007,Noviembre,Ford Motor,F 250,Camiones ligeros,Pick Ups,793
Producción de vehículos,2007,Noviembre,Ford Motor,F 350,Camiones ligeros,Pick Ups, 1 844
Producción de vehículos,2007,Noviembre,Ford Motor,F 450,Camiones ligeros,Pick Ups,249
Producción de vehículos,2007,Noviembre,Ford Motor,F 550,Camiones ligeros,Pick Ups,2
Producción de vehículos,2007,Noviembre,Ford Motor,Fiesta Ikon,Automóviles,Subcompactos,0
Producción de vehículos,2007,Noviembre,Ford Motor,Fusion,Automóviles,Compactos, 19 887
Producción de vehículos,2007,Noviembre,Ford Motor,H - 215,Camiones ligeros,Pick Ups,646
Producción de vehículos,2007,Noviembre,Ford Motor,LCF,Camiones ligeros,Pick Ups,202
Producción de vehículos,2007,Noviembre,Ford Motor,Milan-,Automóviles,De Lujo, 3 818
Producción de vehículos,2007,Noviembre,Ford Motor,MKZ-,Automóviles,De Lujo, 4 409
Producción de vehículos,2007,Noviembre,General Motors,Avalanche UUV,Camiones ligeros,Pick Ups, 4 339
Producción de vehículos,2007,Noviembre,General Motors,Chevy 3 Ptas,Automóviles,Subcompactos, 3 010
Producción de vehículos,2007,Noviembre,General Motors,Chevy 4 PTAS,Automóviles,Subcompactos, 3 044
Producción de vehículos,2007,Noviembre,General Motors,Chevy 5 Ptas,Automóviles,Subcompactos, 1 542
Producción de vehículos,2007,Noviembre,General Motors,Escalade EXT UUV 4X4,Camiones ligeros,Minivans,501
Producción de vehículos,2007,Noviembre,General Motors,GMC Sierra Doble Cabina,Camiones ligeros,Pick Ups, 1 064
Producción de vehículos,2007,Noviembre,General Motors,HHR 5 PTAS,Automóviles,Compactos, 8 184
Producción de vehículos,2007,Noviembre,General Motors,"Kodiak Chassis Cab Class 6 PBV23,900",Camiones ligeros,Pick Ups,0
Producción de vehículos,2007,Noviembre,General Motors,"Kodiak Chassis Cab Class 7 PBV33,000",Camiones ligeros,Pick Ups,0
Producción de vehículos,2007,Noviembre,General Motors,"Kodiak Chassis Cab Class 8 PBV36,000",Camiones ligeros,Pick Ups,0
Producción de vehículos,2007,Noviembre,General Motors,Rendezvous,Camiones ligeros,Minivans,0
Producción de vehículos,2007,Noviembre,General Motors,Silverado 1500 Cabina Regular-,Camiones ligeros,Pick Ups,0
Producción de vehículos,2007,Noviembre,General Motors,Silverado 2500 Cabina Regular-,Camiones ligeros,Pick Ups, 3 161
Producción de vehículos,2007,Noviembre,General Motors,Silverado 2500 Doble Cabina-,Camiones ligeros,Pick Ups,307
Producción de vehículos,2007,Noviembre,General Motors,Silverado 3500 Chassis Cab,Camiones ligeros,Pick Ups,0
Producción de vehículos,2007,Noviembre,General Motors,Silverado 3500 HD Chassis Cab Heavy Duty,Camiones ligeros,Pick Ups,0
Producción de vehículos,2007,Noviembre,General Motors,Suburban SUV-,Camiones ligeros,SUV's, 6 037
Producción de vehículos,2007,Noviembre,General Motors,VUE,Camiones ligeros,SUV's, 7 896
Producción de vehículos,2007,Noviembre,Honda,Accord,Automóviles,De Lujo,0
Producción de vehículos,2007,Noviembre,Honda,CR-V-,Camiones ligeros,SUV's, 4 509
Producción de vehículos,2007,Noviembre,Nissan,Chasis Largo,Camiones ligeros,Pick Ups, 2 738
Producción de vehículos,2007,Noviembre,Nissan,Estacas Largo,Camiones ligeros,Pick Ups,469
Producción de vehículos,2007,Noviembre,Nissan,Pickup Doble Cabina,Camiones ligeros,Pick Ups,672
Producción de vehículos,2007,Noviembre,Nissan,Pickup King Cab STD,Camiones ligeros,Pick Ups,0
Producción de vehículos,2007,Noviembre,Nissan,Pickup Largo,Camiones ligeros,Pick Ups,558
Producción de vehículos,2007,Noviembre,Nissan,Platina 4 PTS,Automóviles,Subcompactos,470
Producción de vehículos,2007,Noviembre,Nissan,Sentra,Automóviles,Compactos, 12 869
Producción de vehículos,2007,Noviembre,Nissan,Sentra 4 PTS,Automóviles,Compactos,0
Producción de vehículos,2007,Noviembre,Nissan,Sentra SE R,Automóviles,Compactos,49
Producción de vehículos,2007,Noviembre,Nissan,Tiida 5 PTS,Automóviles,Compactos, 12 259
Producción de vehículos,2007,Noviembre,Nissan,Tiida Sedan,Automóviles,Compactos, 1 729
Producción de vehículos,2007,Noviembre,Nissan,Tsubame,Automóviles,Compactos,0
Producción de vehículos,2007,Noviembre,Nissan,Tsuru 4 PTS,Automóviles,Subcompactos, 7 741
Producción de vehículos,2007,Noviembre,Renault,Clio,Automóviles,Subcompactos,905
Producción de vehículos,2007,Noviembre,Renault,Scenic,Automóviles,Compactos,0
Producción de vehículos,2007,Noviembre,Toyota,Tacoma-,Camiones ligeros,Pick Ups, 2 796
Producción de vehículos,2007,Noviembre,Volkswagen,Beetle,Automóviles,Compactos, 3 964
Producción de vehículos,2007,Noviembre,Volkswagen,Beetle Cabrio,Automóviles,Compactos, 1 538
Producción de vehículos,2007,Noviembre,Volkswagen,Bora,Automóviles,Compactos, 18 265
Producción de vehículos,2007,Noviembre,Volkswagen,Bora TDI,Automóviles,Compactos,21
Producción de vehículos,2007,Noviembre,Volkswagen,Jetta 4 PTAS,Automóviles,Compactos, 6 992
Producción de vehículos,2007,Noviembre,Volkswagen,Jetta TDI,Automóviles,Compactos,203
Producción de vehículos,2007,Noviembre,Volkswagen,Sportwagen,Automóviles,Compactos, 9 180
Producción de vehículos,2007,Diciembre,Chrysler,PT Cruiser,Automóviles,Compactos, 9 694
Producción de vehículos,2007,Diciembre,Chrysler,RAM 1500-,Camiones ligeros,Pick Ups,654
Producción de vehículos,2007,Diciembre,Chrysler,RAM 2500-,Camiones ligeros,Pick Ups, 3 922
Producción de vehículos,2007,Diciembre,Chrysler,RAM 3500,Camiones ligeros,Pick Ups, 3 625
Producción de vehículos,2007,Diciembre,Chrysler,RAM 4000,Camiones ligeros,Pick Ups,749
Producción de vehículos,2007,Diciembre,Ford Motor,F 150,Camiones ligeros,Pick Ups,468
Producción de vehículos,2007,Diciembre,Ford Motor,F 250,Camiones ligeros,Pick Ups,349
Producción de vehículos,2007,Diciembre,Ford Motor,F 350,Camiones ligeros,Pick Ups, 1 377
Producción de vehículos,2007,Diciembre,Ford Motor,F 450,Camiones ligeros,Pick Ups,61
Producción de vehículos,2007,Diciembre,Ford Motor,F 550,Camiones ligeros,Pick Ups,0
Producción de vehículos,2007,Diciembre,Ford Motor,Fiesta Ikon,Automóviles,Subcompactos,0
Producción de vehículos,2007,Diciembre,Ford Motor,Fusion,Automóviles,Compactos, 5 109
Producción de vehículos,2007,Diciembre,Ford Motor,H - 215,Camiones ligeros,Pick Ups,435
Producción de vehículos,2007,Diciembre,Ford Motor,LCF,Camiones ligeros,Pick Ups,83
Producción de vehículos,2007,Diciembre,Ford Motor,Milan-,Automóviles,De Lujo, 1 074
Producción de vehículos,2007,Diciembre,Ford Motor,MKZ-,Automóviles,De Lujo, 1 216
Producción de vehículos,2007,Diciembre,General Motors,Avalanche UUV,Camiones ligeros,Pick Ups, 1 158
Producción de vehículos,2007,Diciembre,General Motors,Chevy 3 Ptas,Automóviles,Subcompactos, 1 772
Producción de vehículos,2007,Diciembre,General Motors,Chevy 4 PTAS,Automóviles,Subcompactos, 2 243
Producción de vehículos,2007,Diciembre,General Motors,Chevy 5 Ptas,Automóviles,Subcompactos,345
Producción de vehículos,2007,Diciembre,General Motors,Escalade EXT UUV 4X4,Camiones ligeros,Minivans,492
Producción de vehículos,2007,Diciembre,General Motors,GMC Sierra Doble Cabina,Camiones ligeros,Pick Ups, 1 247
Producción de vehículos,2007,Diciembre,General Motors,HHR 5 PTAS,Automóviles,Compactos, 7 074
Producción de vehículos,2007,Diciembre,General Motors,"Kodiak Chassis Cab Class 6 PBV23,900",Camiones ligeros,Pick Ups,0
Producción de vehículos,2007,Diciembre,General Motors,"Kodiak Chassis Cab Class 7 PBV33,000",Camiones ligeros,Pick Ups,30
Producción de vehículos,2007,Diciembre,General Motors,"Kodiak Chassis Cab Class 8 PBV36,000",Camiones ligeros,Pick Ups,170
Producción de vehículos,2007,Diciembre,General Motors,Rendezvous,Camiones ligeros,Minivans,0
Producción de vehículos,2007,Diciembre,General Motors,Silverado 1500 Cabina Regular-,Camiones ligeros,Pick Ups,738
Producción de vehículos,2007,Diciembre,General Motors,Silverado 2500 Cabina Regular-,Camiones ligeros,Pick Ups, 3 279
Producción de vehículos,2007,Diciembre,General Motors,Silverado 2500 Doble Cabina-,Camiones ligeros,Pick Ups,271
Producción de vehículos,2007,Diciembre,General Motors,Silverado 3500 Chassis Cab,Camiones ligeros,Pick Ups,0
Producción de vehículos,2007,Diciembre,General Motors,Silverado 3500 HD Chassis Cab Heavy Duty,Camiones ligeros,Pick Ups,0
Producción de vehículos,2007,Diciembre,General Motors,Suburban SUV-,Camiones ligeros,SUV's, 6 878
Producción de vehículos,2007,Diciembre,General Motors,VUE,Camiones ligeros,SUV's, 4 424
Producción de vehículos,2007,Diciembre,Honda,Accord,Automóviles,De Lujo,0
Producción de vehículos,2007,Diciembre,Honda,CR-V-,Camiones ligeros,SUV's, 3 160
Producción de vehículos,2007,Diciembre,Nissan,Chasis Largo,Camiones ligeros,Pick Ups, 2 155
Producción de vehículos,2007,Diciembre,Nissan,Estacas Largo,Camiones ligeros,Pick Ups,336
Producción de vehículos,2007,Diciembre,Nissan,Pickup Doble Cabina,Camiones ligeros,Pick Ups,635
Producción de vehículos,2007,Diciembre,Nissan,Pickup King Cab STD,Camiones ligeros,Pick Ups,0
Producción de vehículos,2007,Diciembre,Nissan,Pickup Largo,Camiones ligeros,Pick Ups,304
Producción de vehículos,2007,Diciembre,Nissan,Platina 4 PTS,Automóviles,Subcompactos,545
Producción de vehículos,2007,Diciembre,Nissan,Sentra,Automóviles,Compactos, 10 319
Producción de vehículos,2007,Diciembre,Nissan,Sentra 4 PTS,Automóviles,Compactos,0
Producción de vehículos,2007,Diciembre,Nissan,Sentra SE R,Automóviles,Compactos,1
Producción de vehículos,2007,Diciembre,Nissan,Tiida 5 PTS,Automóviles,Compactos, 8 468
Producción de vehículos,2007,Diciembre,Nissan,Tiida Sedan,Automóviles,Compactos, 1 531
Producción de vehículos,2007,Diciembre,Nissan,Tsubame,Automóviles,Compactos,0
Producción de vehículos,2007,Diciembre,Nissan,Tsuru 4 PTS,Automóviles,Subcompactos, 5 797
Producción de vehículos,2007,Diciembre,Renault,Clio,Automóviles,Subcompactos,848
Producción de vehículos,2007,Diciembre,Renault,Scenic,Automóviles,Compactos,0
Producción de vehículos,2007,Diciembre,Toyota,Tacoma-,Camiones ligeros,Pick Ups, 2 969
Producción de vehículos,2007,Diciembre,Volkswagen,Beetle,Automóviles,Compactos, 2 938
Producción de vehículos,2007,Diciembre,Volkswagen,Beetle Cabrio,Automóviles,Compactos, 1 108
Producción de vehículos,2007,Diciembre,Volkswagen,Bora,Automóviles,Compactos, 14 991
Producción de vehículos,2007,Diciembre,Volkswagen,Bora TDI,Automóviles,Compactos,81
Producción de vehículos,2007,Diciembre,Volkswagen,Jetta 4 PTAS,Automóviles,Compactos, 5 033
Producción de vehículos,2007,Diciembre,Volkswagen,Jetta TDI,Automóviles,Compactos,143
Producción de vehículos,2007,Diciembre,Volkswagen,Sportwagen,Automóviles,Compactos, 6 847
Producción de vehículos,2008,Enero,Chrysler,Journey,Camiones ligeros,SUV's, 3 599
Producción de vehículos,2008,Enero,Chrysler,PT Cruiser,Automóviles,Compactos, 4 000
Producción de vehículos,2008,Enero,Chrysler,RAM 1500-,Camiones ligeros,Pick Ups,370
Producción de vehículos,2008,Enero,Chrysler,RAM 2500-,Camiones ligeros,Pick Ups, 2 743
Producción de vehículos,2008,Enero,Chrysler,RAM 3500,Camiones ligeros,Pick Ups, 3 085
Producción de vehículos,2008,Enero,Chrysler,RAM 4000,Camiones ligeros,Pick Ups,358
Producción de vehículos,2008,Enero,Ford Motor,F 150,Camiones ligeros,Pick Ups,669
Producción de vehículos,2008,Enero,Ford Motor,F 250,Camiones ligeros,Pick Ups,413
Producción de vehículos,2008,Enero,Ford Motor,F 350,Camiones ligeros,Pick Ups, 1 328
Producción de vehículos,2008,Enero,Ford Motor,F 450,Camiones ligeros,Pick Ups,135
Producción de vehículos,2008,Enero,Ford Motor,F 550,Camiones ligeros,Pick Ups,0
Producción de vehículos,2008,Enero,Ford Motor,Fusion,Automóviles,Compactos, 17 795
Producción de vehículos,2008,Enero,Ford Motor,H - 215,Camiones ligeros,Pick Ups,460
Producción de vehículos,2008,Enero,Ford Motor,LCF,Camiones ligeros,Pick Ups,66
Producción de vehículos,2008,Enero,Ford Motor,Milan-,Automóviles,De Lujo, 1 755
Producción de vehículos,2008,Enero,Ford Motor,MKZ-,Automóviles,De Lujo, 2 156
Producción de vehículos,2008,Enero,General Motors,Avalanche UUV,Camiones ligeros,Pick Ups, 4 665
Producción de vehículos,2008,Enero,General Motors,Captiva Sport,Camiones ligeros,SUV's,720
Producción de vehículos,2008,Enero,General Motors,Chevy 3 Ptas,Automóviles,Subcompactos, 1 782
Producción de vehículos,2008,Enero,General Motors,Chevy 4 PTAS,Automóviles,Subcompactos, 1 811
Producción de vehículos,2008,Enero,General Motors,Chevy 5 Ptas,Automóviles,Subcompactos, 1 303
Producción de vehículos,2008,Enero,General Motors,Escalade EXT UUV 4X4,Camiones ligeros,Minivans,807
Producción de vehículos,2008,Enero,General Motors,GMC Sierra Doble Cabina,Camiones ligeros,Pick Ups, 3 235
Producción de vehículos,2008,Enero,General Motors,HHR 5 PTAS,Automóviles,Compactos, 7 641
Producción de vehículos,2008,Enero,General Motors,"Kodiak Chassis Cab Class 7 PBV33,000",Camiones ligeros,Pick Ups,65
Producción de vehículos,2008,Enero,General Motors,"Kodiak Chassis Cab Class 8 PBV36,000",Camiones ligeros,Pick Ups,115
Producción de vehículos,2008,Enero,General Motors,Silverado 1500 Cabina Regular-,Camiones ligeros,Pick Ups,796
Producción de vehículos,2008,Enero,General Motors,Silverado 2500 Cabina Regular-,Camiones ligeros,Pick Ups,572
Producción de vehículos,2008,Enero,General Motors,Silverado 2500 Doble Cabina-,Camiones ligeros,Pick Ups, 10 170
Producción de vehículos,2008,Enero,General Motors,Silverado 3500 Chassis Cab,Camiones ligeros,Pick Ups,185
Producción de vehículos,2008,Enero,General Motors,Silverado 3500 HD Chassis Cab Heavy Duty,Camiones ligeros,Pick Ups,0
Producción de vehículos,2008,Enero,General Motors,Suburban SUV-,Camiones ligeros,SUV's, 2 146
Producción de vehículos,2008,Enero,General Motors,VUE,Camiones ligeros,SUV's, 7 480
Producción de vehículos,2008,Enero,Honda,Accord,Automóviles,De Lujo,0
Producción de vehículos,2008,Enero,Honda,CR-V-,Camiones ligeros,SUV's, 4 290
Producción de vehículos,2008,Enero,Nissan,Chasis Largo,Camiones ligeros,Pick Ups, 3 706
Producción de vehículos,2008,Enero,Nissan,Estacas Largo,Camiones ligeros,Pick Ups,224
Producción de vehículos,2008,Enero,Nissan,Estacas Largo Diesel,Camiones ligeros,Pick Ups,0
Producción de vehículos,2008,Enero,Nissan,Pickup Doble Cabina,Camiones ligeros,Pick Ups,898
Producción de vehículos,2008,Enero,Nissan,Pickup King Cab STD,Camiones ligeros,Pick Ups,0
Producción de vehículos,2008,Enero,Nissan,Pickup Largo,Camiones ligeros,Pick Ups,678
Producción de vehículos,2008,Enero,Nissan,Platina 4 PTS,Automóviles,Subcompactos,352
Producción de vehículos,2008,Enero,Nissan,Sentra,Automóviles,Compactos, 11 460
Producción de vehículos,2008,Enero,Nissan,Sentra 4 PTS,Automóviles,Compactos,0
Producción de vehículos,2008,Enero,Nissan,Sentra SE R,Automóviles,Compactos,0
Producción de vehículos,2008,Enero,Nissan,Tiida 5 PTS,Automóviles,Compactos, 10 273
Producción de vehículos,2008,Enero,Nissan,Tiida Sedan,Automóviles,Compactos,362
Producción de vehículos,2008,Enero,Nissan,Tsubame,Automóviles,Compactos,0
Producción de vehículos,2008,Enero,Nissan,Tsuru 4 PTS,Automóviles,Subcompactos, 7 317
Producción de vehículos,2008,Enero,Renault,Clio,Automóviles,Subcompactos,761
Producción de vehículos,2008,Enero,Renault,Scenic,Automóviles,Compactos,0
Producción de vehículos,2008,Enero,Toyota,Tacoma-,Camiones ligeros,Pick Ups, 4 319
Producción de vehículos,2008,Enero,Volkswagen,Beetle,Automóviles,Compactos, 3 032
Producción de vehículos,2008,Enero,Volkswagen,Beetle Cabrio,Automóviles,Compactos, 2 366
Producción de vehículos,2008,Enero,Volkswagen,Bora,Automóviles,Compactos, 17 257
Producción de vehículos,2008,Enero,Volkswagen,Bora TDI,Automóviles,Compactos,100
Producción de vehículos,2008,Enero,Volkswagen,Jetta 4 PTAS,Automóviles,Compactos, 7 019
Producción de vehículos,2008,Enero,Volkswagen,Jetta TDI,Automóviles,Compactos,253
Producción de vehículos,2008,Enero,Volkswagen,Sportwagen,Automóviles,Compactos, 9 057
Producción de vehículos,2008,Febrero,Chrysler,Journey,Camiones ligeros,SUV's, 9 527
Producción de vehículos,2008,Febrero,Chrysler,PT Cruiser,Automóviles,Compactos, 5 124
Producción de vehículos,2008,Febrero,Chrysler,RAM 1500-,Camiones ligeros,Pick Ups,524
Producción de vehículos,2008,Febrero,Chrysler,RAM 2500-,Camiones ligeros,Pick Ups, 6 356
Producción de vehículos,2008,Febrero,Chrysler,RAM 3500,Camiones ligeros,Pick Ups, 4 569
Producción de vehículos,2008,Febrero,Chrysler,RAM 4000,Camiones ligeros,Pick Ups,398
Producción de vehículos,2008,Febrero,Ford Motor,F 150,Camiones ligeros,Pick Ups,900
Producción de vehículos,2008,Febrero,Ford Motor,F 250,Camiones ligeros,Pick Ups,345
Producción de vehículos,2008,Febrero,Ford Motor,F 350,Camiones ligeros,Pick Ups, 1 199
Producción de vehículos,2008,Febrero,Ford Motor,F 450,Camiones ligeros,Pick Ups,195
Producción de vehículos,2008,Febrero,Ford Motor,F 550,Camiones ligeros,Pick Ups,1
Producción de vehículos,2008,Febrero,Ford Motor,Fusion,Automóviles,Compactos, 18 093
Producción de vehículos,2008,Febrero,Ford Motor,H - 215,Camiones ligeros,Pick Ups,500
Producción de vehículos,2008,Febrero,Ford Motor,LCF,Camiones ligeros,Pick Ups,60
Producción de vehículos,2008,Febrero,Ford Motor,Milan-,Automóviles,De Lujo, 2 503
Producción de vehículos,2008,Febrero,Ford Motor,MKZ-,Automóviles,De Lujo, 3 043
Producción de vehículos,2008,Febrero,General Motors,Avalanche UUV,Camiones ligeros,Pick Ups, 4 075
Producción de vehículos,2008,Febrero,General Motors,Captiva Sport,Camiones ligeros,SUV's,652
Producción de vehículos,2008,Febrero,General Motors,Chevy 3 Ptas,Automóviles,Subcompactos, 1 165
Producción de vehículos,2008,Febrero,General Motors,Chevy 4 PTAS,Automóviles,Subcompactos, 1 617
